# Ne(3P) + OCS interaction potential, (2)^3A' surface, from Proj-EOM-EE-CCSD / d-aug-cc-pVTZ  
# Potential expanded in terms of Legendre polynomials 
# Below are Legendre radial functions from L = 0 to L = 4    
# All data are in atomic units (Bohr / Hartree)
# 
# R       L = 0        L = 1        L = 2        L = 3        L = 4
 12.89   -1.309E-04    7.875E-06   -5.504E-05   -8.097E-06   -7.081E-06 
 12.96   -1.271E-04    8.014E-06   -5.436E-05   -7.737E-06   -7.213E-06 
 13.04   -1.233E-04    8.137E-06   -5.354E-05   -7.368E-06   -7.368E-06 
 13.11   -1.196E-04    8.235E-06   -5.258E-05   -6.985E-06   -7.559E-06 
 13.19   -1.160E-04    8.298E-06   -5.149E-05   -6.593E-06   -7.782E-06 
 13.27   -1.125E-04    8.318E-06   -5.035E-05   -6.201E-06   -8.019E-06 
 13.34   -1.091E-04    8.291E-06   -4.916E-05   -5.814E-06   -8.233E-06 
 13.42   -1.058E-04    8.210E-06   -4.798E-05   -5.436E-06   -8.370E-06 
 13.49   -1.025E-04    8.087E-06   -4.684E-05   -5.067E-06   -8.393E-06 
 13.57   -9.933E-05    7.925E-06   -4.575E-05   -4.716E-06   -8.265E-06 
 13.64   -9.623E-05    7.745E-06   -4.472E-05   -4.387E-06   -8.001E-06 
 13.72   -9.318E-05    7.557E-06   -4.370E-05   -4.091E-06   -7.641E-06 
 13.79   -9.026E-05    7.394E-06   -4.266E-05   -3.838E-06   -7.258E-06 
 13.87   -8.739E-05    7.268E-06   -4.154E-05   -3.635E-06   -6.930E-06 
 13.95   -8.466E-05    7.194E-06   -4.032E-05   -3.492E-06   -6.716E-06 
 14.02   -8.201E-05    7.173E-06   -3.900E-05   -3.409E-06   -6.639E-06 
 14.10   -7.946E-05    7.198E-06   -3.761E-05   -3.385E-06   -6.689E-06 
 14.17   -7.696E-05    7.244E-06   -3.623E-05   -3.411E-06   -6.812E-06 
 14.25   -7.445E-05    7.292E-06   -3.493E-05   -3.477E-06   -6.930E-06 
 14.32   -7.194E-05    7.317E-06   -3.378E-05   -3.569E-06   -6.976E-06 
 14.40   -6.948E-05    7.305E-06   -3.280E-05   -3.675E-06   -6.903E-06 
 14.48   -6.707E-05    7.251E-06   -3.198E-05   -3.780E-06   -6.702E-06 
 14.55   -6.465E-05    7.156E-06   -3.126E-05   -3.871E-06   -6.383E-06 
 14.63   -6.242E-05    7.026E-06   -3.056E-05   -3.937E-06   -5.992E-06 
 14.70   -6.028E-05    6.866E-06   -2.984E-05   -3.968E-06   -5.563E-06 
 14.78   -5.828E-05    6.678E-06   -2.905E-05   -3.953E-06   -5.149E-06 
 14.85   -5.641E-05    6.464E-06   -2.818E-05   -3.885E-06   -4.766E-06 
 14.93   -5.458E-05    6.220E-06   -2.726E-05   -3.759E-06   -4.439E-06 
 15.00   -5.285E-05    5.946E-06   -2.633E-05   -3.575E-06   -4.166E-06 
 15.08   -5.112E-05    5.645E-06   -2.546E-05   -3.340E-06   -3.943E-06 
 15.16   -4.939E-05    5.331E-06   -2.465E-05   -3.070E-06   -3.760E-06 
 15.23   -4.777E-05    5.012E-06   -2.388E-05   -2.788E-06   -3.604E-06 
 15.31   -4.618E-05    4.707E-06   -2.317E-05   -2.518E-06   -3.459E-06 
 15.38   -4.463E-05    4.427E-06   -2.250E-05   -2.278E-06   -3.316E-06 
 15.46   -4.314E-05    4.175E-06   -2.185E-05   -2.074E-06   -3.167E-06 
 15.53   -4.172E-05    3.954E-06   -2.119E-05   -1.896E-06   -3.013E-06 
 15.61   -4.037E-05    3.762E-06   -2.050E-05   -1.728E-06   -2.863E-06 
 15.68   -3.904E-05    3.596E-06   -1.978E-05   -1.551E-06   -2.733E-06 
 15.76   -3.782E-05    3.456E-06   -1.902E-05   -1.355E-06   -2.638E-06 
 15.84   -3.660E-05    3.337E-06   -1.825E-05   -1.146E-06   -2.590E-06 
 15.91   -3.544E-05    3.239E-06   -1.747E-05   -9.333E-07   -2.576E-06 
 15.99   -3.432E-05    3.158E-06   -1.670E-05   -7.325E-07   -2.575E-06 
 16.06   -3.326E-05    3.085E-06   -1.596E-05   -5.556E-07   -2.567E-06 
 16.14   -3.222E-05    3.011E-06   -1.529E-05   -4.109E-07   -2.533E-06 
 16.21   -3.122E-05    2.926E-06   -1.468E-05   -3.019E-07   -2.462E-06 
 16.29   -3.027E-05    2.822E-06   -1.415E-05   -2.282E-07   -2.350E-06 
 16.37   -2.935E-05    2.699E-06   -1.369E-05   -1.858E-07   -2.197E-06 
 16.44   -2.847E-05    2.559E-06   -1.330E-05   -1.677E-07   -2.013E-06 
 16.52   -2.763E-05    2.411E-06   -1.297E-05   -1.660E-07   -1.810E-06 
 16.59   -2.682E-05    2.263E-06   -1.267E-05   -1.731E-07   -1.599E-06 
 16.67   -2.604E-05    2.125E-06   -1.240E-05   -1.827E-07   -1.392E-06 
